edadDias,SD3negPEF,SD2negPEF,SD1negPEF,SD0PEF,SD1PEF,SD2PEF,SD3PEF,SD3negPEM,SD2negPEM,SD1negPEM,SD0PEM,SD1PEM,SD2PEM,SD3PEM,SD3negTEF,SD2negTEF,SD1negTEF,SD0TEF,SD1TEF,SD2TEF,SD3TEF,SD3negTEM,SD2negTEM,SD1negTEM,SD0TEM,SD1TEM,SD2TEM,SD3TEM,SD3negIEF,SD2negIEF,SD1negIEF,SD0IEF,SD1IEF,SD2IEF,SD3IEF,SD3negIEM,SD2negIEM,SD1negIEM,SD0IEM,SD1IEM,SD2IEM,SD3IEM,Rotulo,SD15negPEF,SD15negPEM,SD15PEF,SD15PEM,SD15negTEF,SD15negTEM,SD15TEF,SD15TEM,SD15negIEF,SD15negIEM,SD15IEF,SD15IEM
0,2.033,2.395,2.794,3.232,3.711,4.230,4.793,2.080,2.459,2.881,3.346,3.859,4.419,5.031,43.560,45.422,47.285,49.148,51.010,52.873,54.736,44.205,46.098,47.991,49.884,51.777,53.670,55.564,10.122,11.091,12.159,13.336,14.636,16.071,17.657,10.184,11.133,12.201,13.407,14.773,16.326,18.100,Nacimiento,2.595,2.670,3.970,4.139,46.353,47.044,51.941,52.724,11.625,11.667,15.354,15.550
1,1.994,2.352,2.752,3.196,3.685,4.222,4.810,2.065,2.437,2.854,3.317,3.830,4.394,5.013,43.720,45.585,47.451,49.317,51.182,53.048,54.914,44.376,46.271,48.165,50.060,51.955,53.850,55.744,10.043,11.038,12.127,13.318,14.623,16.050,17.611,10.121,11.095,12.182,13.398,14.760,16.290,18.012,NULL,2.552,2.646,3.954,4.112,46.518,47.218,52.115,52.903,11.582,11.639,15.336,15.525
2,2.002,2.362,2.764,3.210,3.704,4.249,4.846,2.080,2.454,2.872,3.337,3.852,4.421,5.045,43.880,45.748,47.617,49.485,51.354,53.223,55.091,44.547,46.443,48.339,50.236,52.132,54.029,55.925,9.962,10.983,12.094,13.301,14.610,16.029,17.566,10.056,11.056,12.162,13.388,14.747,16.254,17.927,NULL,2.563,2.663,3.977,4.136,46.682,47.391,52.288,53.081,11.539,11.609,15.319,15.501
3,2.017,2.378,2.782,3.232,3.730,4.280,4.885,2.100,2.475,2.895,3.363,3.881,4.453,5.083,44.038,45.910,47.782,49.654,51.526,53.398,55.270,44.719,46.617,48.514,50.412,52.309,54.207,56.104,9.879,10.928,12.062,13.283,14.596,16.007,17.520,9.988,11.015,12.143,13.379,14.734,16.219,17.845,NULL,2.580,2.685,4.005,4.167,46.846,47.566,52.462,53.258,11.495,11.579,15.302,15.476
4,2.034,2.397,2.803,3.256,3.758,4.314,4.925,2.122,2.499,2.921,3.392,3.913,4.490,5.124,44.199,46.074,47.948,49.823,51.698,53.573,55.448,44.890,46.789,48.689,50.588,52.487,54.386,56.285,9.792,10.872,12.029,13.265,14.583,15.985,17.474,9.918,10.974,12.123,13.370,14.721,16.185,17.767,NULL,2.600,2.710,4.036,4.202,47.011,47.739,52.636,53.437,11.450,11.549,15.284,15.453
5,2.053,2.418,2.826,3.282,3.789,4.349,4.967,2.146,2.525,2.949,3.422,3.947,4.528,5.167,44.359,46.237,48.114,49.992,51.870,53.748,55.625,45.062,46.962,48.863,50.764,52.664,54.565,56.465,9.702,10.815,11.996,13.247,14.569,15.963,17.429,9.844,10.932,12.103,13.361,14.709,16.151,17.691,NULL,2.622,2.737,4.069,4.237,47.175,47.913,52.809,53.614,11.405,11.518,15.266,15.430
6,2.074,2.440,2.851,3.310,3.820,4.386,5.009,2.170,2.551,2.978,3.454,3.983,4.568,5.211,44.519,46.400,48.280,50.161,52.041,53.922,55.802,45.233,47.135,49.037,50.939,52.841,54.743,56.646,9.609,10.756,11.963,13.229,14.555,15.940,17.384,9.768,10.889,12.083,13.351,14.696,16.118,17.618,NULL,2.646,2.764,4.103,4.276,47.340,48.086,52.981,53.792,11.360,11.486,15.248,15.407
7,2.096,2.464,2.877,3.339,3.853,4.423,5.052,2.195,2.579,3.009,3.488,4.020,4.609,5.257,44.680,46.563,48.446,50.330,52.213,54.096,55.980,45.406,47.309,49.212,51.115,53.018,54.921,56.824,9.513,10.696,11.929,13.211,14.541,15.917,17.339,9.688,10.844,12.062,13.342,14.683,16.085,17.547,NULL,2.671,2.794,4.138,4.314,47.505,48.261,53.154,53.969,11.312,11.453,15.229,15.384
8,2.118,2.488,2.904,3.369,3.887,4.461,5.096,2.221,2.607,3.040,3.522,4.058,4.650,5.303,44.840,46.726,48.613,50.499,52.385,54.271,56.157,45.578,47.482,49.387,51.291,53.195,55.100,57.004,9.554,10.733,11.964,13.246,14.577,15.957,17.385,9.744,10.895,12.108,13.384,14.723,16.125,17.588,NULL,2.696,2.824,4.174,4.354,47.669,48.434,53.328,54.148,11.348,11.502,15.267,15.424
9,2.141,2.513,2.932,3.400,3.921,4.500,5.140,2.248,2.637,3.072,3.558,4.097,4.693,5.351,45.001,46.890,48.779,50.668,52.556,54.445,56.334,45.749,47.655,49.561,51.467,53.373,55.279,57.184,9.596,10.770,11.998,13.280,14.613,15.997,17.431,9.801,10.946,12.154,13.426,14.763,16.164,17.629,NULL,2.723,2.854,4.210,4.395,47.834,48.608,53.501,54.326,11.384,11.550,15.305,15.463
10,2.165,2.540,2.960,3.431,3.957,4.540,5.186,2.276,2.667,3.105,3.594,4.137,4.738,5.400,45.160,47.052,48.944,50.836,52.729,54.621,56.513,45.921,47.828,49.736,51.643,53.550,55.457,57.364,9.637,10.807,12.033,13.314,14.649,16.037,17.477,9.858,10.996,12.200,13.469,14.803,16.203,17.670,NULL,2.750,2.886,4.248,4.438,47.998,48.782,53.675,54.504,11.420,11.598,15.343,15.503
