idIMC,age,lo,mo,so,la,ma,sa
1,0,-0.30530,13.4069,0.09560,-0.31700,13.3363,0.09272
2,1,-0.18670,13.3976,0.09597,-0.31700,13.3185,0.09360
3,2,-0.06810,13.3883,0.09634,-0.31700,13.3006,0.09448
4,3,0.05050,13.3791,0.09672,-0.31700,13.2828,0.09535
5,4,0.16900,13.3698,0.09709,-0.31700,13.2649,0.09623
6,5,0.28760,13.3606,0.09746,-0.31700,13.2470,0.09711
7,6,0.40620,13.3513,0.09784,-0.31700,13.2292,0.09799
8,7,0.52470,13.3421,0.09821,-0.31700,13.2113,0.09887
9,8,0.50940,13.3843,0.09769,-0.31700,13.2455,0.09866
10,9,0.49410,13.4265,0.09716,-0.31700,13.2796,0.09845
11,10,0.47890,13.4687,0.09664,-0.31700,13.3137,0.09824
12,11,0.46360,13.5110,0.09611,-0.31700,13.3478,0.09804
13,12,0.44830,13.5532,0.09559,-0.31700,13.3819,0.09783
14,13,0.43300,13.5954,0.09507,-0.31700,13.4160,0.09762
15,14,0.41770,13.6377,0.09454,-0.31700,13.4501,0.09741
16,15,0.40590,13.7174,0.09416,-0.31700,13.5169,0.09726
17,16,0.39460,13.8006,0.09380,-0.31700,13.5873,0.09711
18,17,0.38390,13.8854,0.09347,-0.31700,13.6595,0.09697
19,18,0.37350,13.9707,0.09315,-0.31700,13.7325,0.09684
20,19,0.36360,14.0558,0.09285,-0.31700,13.8056,0.09671
21,20,0.35410,14.1404,0.09257,-0.31700,13.8784,0.09659
22,21,0.34490,14.2241,0.09230,-0.31700,13.9505,0.09647
23,22,0.33600,14.3065,0.09204,-0.31700,14.0216,0.09636
24,23,0.32740,14.3877,0.09180,-0.31700,14.0916,0.09625
25,24,0.31910,14.4675,0.09156,-0.31700,14.1603,0.09615
26,25,0.31100,14.5457,0.09134,-0.31700,14.2276,0.09605
27,26,0.30320,14.6225,0.09112,-0.31700,14.2935,0.09595
28,27,0.29550,14.6977,0.09092,-0.31700,14.3579,0.09586
29,28,0.28810,14.7714,0.09072,-0.31700,14.4208,0.09577
30,29,0.28090,14.8436,0.09053,-0.31700,14.4824,0.09568
31,30,0.27380,14.9140,0.09035,-0.31700,14.5422,0.09559
32,31,0.26690,14.9822,0.09017,-0.31700,14.6003,0.09551
33,32,0.26020,15.0485,0.09000,-0.31700,14.6566,0.09543
34,33,0.25360,15.1127,0.08984,-0.31700,14.7112,0.09535
35,34,0.24720,15.1750,0.08968,-0.31700,14.7642,0.09527
36,35,0.24090,15.2355,0.08953,-0.31700,14.8157,0.09520
37,36,0.23480,15.2942,0.08938,-0.31700,14.8657,0.09513
38,37,0.22870,15.3511,0.08924,-0.31700,14.9142,0.09506
39,38,0.22280,15.4062,0.08910,-0.31700,14.9614,0.09499
40,39,0.21700,15.4597,0.08897,-0.31700,15.0073,0.09492
41,40,0.21130,15.5115,0.08884,-0.31700,15.0520,0.09485
42,41,0.20580,15.5618,0.08871,-0.31700,15.0955,0.09479
43,42,0.20030,15.6107,0.08859,-0.31700,15.1380,0.09472
44,43,0.19490,15.6582,0.08847,-0.31700,15.1794,0.09466
45,44,0.18960,15.7043,0.08835,-0.31700,15.2198,0.09460
46,45,0.18440,15.7492,0.08824,-0.31700,15.2591,0.09454
47,46,0.17930,15.7929,0.08813,-0.31700,15.2974,0.09448
48,47,0.17430,15.8353,0.08802,-0.31700,15.3347,0.09442
49,48,0.16930,15.8767,0.08792,-0.31700,15.3709,0.09436
50,49,0.16450,15.9169,0.08782,-0.31700,15.4063,0.09431
51,50,0.15970,15.9560,0.08772,-0.31700,15.4408,0.09425
52,51,0.15500,15.9941,0.08762,-0.31700,15.4744,0.09420
53,52,0.15030,16.0311,0.08753,-0.31700,15.5072,0.09415
54,53,0.14570,16.0672,0.08743,-0.31700,15.5393,0.09410
55,54,0.14120,16.1023,0.08734,-0.31700,15.5706,0.09404
56,55,0.13680,16.1365,0.08725,-0.31700,15.6012,0.09399
57,56,0.13240,16.1698,0.08717,-0.31700,15.6311,0.09394
58,57,0.12800,16.2021,0.08708,-0.31700,15.6604,0.09389
59,58,0.12380,16.2336,0.08700,-0.31700,15.6890,0.09385
60,59,0.11960,16.2642,0.08692,-0.31700,15.7170,0.09380
61,60,0.11540,16.2941,0.08684,-0.31700,15.7444,0.09375
62,61,0.11130,16.3231,0.08676,-0.31700,15.7713,0.09371
63,62,0.10720,16.3513,0.08669,-0.31700,15.7975,0.09366
64,63,0.10320,16.3787,0.08661,-0.31700,15.8232,0.09361
65,64,0.09930,16.4053,0.08654,-0.31700,15.8483,0.09357
